Data,Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM2.5 [jednostka ug/m3]),Katowice - ul. Kossutha (pył zawieszony PM10 [jednostka ug/m3])
2025-01-01,53.78,55.75,44.50,18.84,
2025-01-02,20.99,5.78,4.20,14.80,
2025-01-03,19.42,10.09,6.60,16.35,
2025-01-04,21.62,25.77,21.40,18.67,
2025-01-05,44.07,46.55,37.00,39.31,
2025-01-06,38.91,62.58,54.50,23.09,
2025-01-07,48.88,19.51,16.40,22.25,
2025-01-08,18.64,6.41,5.90,12.05,
2025-01-09,32.48,17.15,14.90,17.25,
2025-01-10,10.46,6.58,5.10,9.02,
2025-01-11,14.14,7.22,4.60,10.18,
2025-01-12,10.47,6.50,4.30,10.59,
2025-01-13,18.67,17.01,13.70,22.34,
2025-01-14,68.88,20.53,19.00,28.37,
2025-01-15,34.90,14.05,12.30,30.94,
2025-01-16,26.25,45.22,37.60,20.54,
2025-01-17,29.42,52.50,43.90,24.13,
2025-01-18,57.00,39.51,34.00,41.55,
2025-01-19,76.63,34.11,31.50,54.02,
2025-01-20,104.99,46.18,40.10,42.99,
2025-01-21,79.75,68.91,56.10,35.53,
2025-01-22,90.20,90.17,72.70,40.63,
2025-01-23,56.23,34.11,24.60,32.35,
2025-01-24,55.33,23.91,23.10,25.53,
2025-01-25,79.00,54.92,47.90,18.22,
2025-01-26,47.78,23.34,18.20,32.27,
2025-01-27,57.60,20.61,17.70,31.43,
2025-01-28,68.06,14.18,11.30,28.88,
2025-01-29,31.92,9.82,6.30,9.07,
2025-01-30,60.08,31.39,19.90,21.37,
2025-01-31,45.59,20.17,15.00,25.20,
2025-02-01,42.82,15.60,11.50,24.84,
2025-02-02,61.89,34.73,28.00,36.20,
2025-02-03,69.99,29.53,20.20,48.71,
2025-02-04,73.52,33.75,25.30,46.64,
2025-02-05,84.93,47.17,29.40,37.92,
2025-02-06,35.48,19.87,17.10,27.19,
2025-02-07,50.53,51.42,28.90,33.99,
2025-02-08,37.16,82.38,53.80,33.35,
2025-02-09,49.61,58.45,36.90,50.60,
2025-02-10,57.28,59.83,36.90,45.45,
2025-02-11,60.62,80.89,50.80,39.26,
2025-02-12,86.49,57.77,36.90,57.30,
2025-02-13,82.88,92.02,67.80,47.04,
2025-02-14,42.55,33.29,28.10,43.93,
2025-02-15,40.12,13.50,12.70,31.85,
2025-02-16,46.90,26.16,22.00,46.90,
2025-02-17,43.97,40.23,30.00,64.67,
2025-02-18,72.19,45.69,36.10,81.25,
2025-02-19,52.29,39.62,27.60,46.66,
2025-02-20,64.72,42.09,27.90,57.49,
2025-02-21,65.46,61.06,38.90,39.09,
2025-02-22,69.09,60.05,38.30,44.81,
2025-02-23,69.90,39.55,29.80,35.22,
2025-02-24,50.23,13.48,13.80,55.05,
2025-02-25,55.01,25.35,22.60,37.91,
2025-02-26,92.83,36.71,31.50,50.62,
2025-02-27,60.56,37.77,33.10,39.01,
2025-02-28,39.12,16.02,15.30,33.80,
2025-03-01,41.03,13.23, ,35.27,
2025-03-02,31.79,14.74, ,26.49,
2025-03-03,39.45,15.70, ,33.36,
2025-03-04,65.45,28.58, ,45.30,
2025-03-05,60.67,37.56, ,33.60,
2025-03-06,69.12,36.93, ,31.33,
2025-03-07,82.08,47.82, ,40.28,
2025-03-08,74.82,48.59, ,51.94,
2025-03-09,82.53,31.60, ,51.89,
2025-03-10,61.70,27.65, ,31.23,
2025-03-11,44.07,16.38, ,21.47,
2025-03-12,54.67,12.81, ,18.02,
2025-03-13,26.15,7.97, ,19.35,
2025-03-14,23.05,9.57, ,23.99,
2025-03-15,12.35,4.49, ,19.03,
2025-03-16,25.02,16.74, ,28.05,
2025-03-17,29.62,19.16, ,24.99,
2025-03-18,37.81,-, ,27.12,
2025-03-19,45.17,-, ,28.80,
2025-03-20,56.21,29.57, ,27.53,
2025-03-21,56.50,28.83, ,44.36,
2025-03-22,47.22,30.46, ,38.67,
2025-03-23,22.18,17.77, ,27.16,
2025-03-24,31.77,13.38, ,30.43,
2025-03-25,43.05,14.68, ,32.85,
2025-03-26,50.06,21.89, ,53.84,
2025-03-27,28.98,26.98, ,21.91,
2025-03-28,32.45,29.15, ,27.93,
2025-03-29,34.67,35.66, ,35.45,
2025-03-30,41.90,27.40, ,35.90,
2025-03-31,31.55,15.11, ,18.70,
