Data,Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM10 [jednostka ug/m3]),Zakopane - ul. Sienkiewicza (pył zawieszony PM2.5 [jednostka ug/m3]),Katowice - ul. Kossutha (pył zawieszony PM10 [jednostka ug/m3])
2024-05-07,20.22,12.39,9.50,12.31,
2024-05-08,24.73,13.52,7.60,13.93,
2024-05-09,34.80,16.44,10.00,20.75,
2024-05-10,33.25,23.04,12.00,25.08,
2024-05-11,28.68,15.34,10.50,19.78,
2024-05-12,17.80,11.62,7.80,-,
2024-05-13,25.99,10.07,6.00,-,
2024-05-14,30.38,13.20,7.80,-,
2024-05-15,33.09,16.66,8.90,-,
2024-05-16,35.24,13.88,8.00,-,
2024-05-17,36.51,12.80,9.30,-,
2024-05-18,17.85,12.85,8.60,-,
2024-05-19,16.16,11.61,8.00,-,
2024-05-20,22.88,13.55,10.50,-,
2024-05-21,31.47,16.61,7.30,-,
2024-05-22,28.77,14.40,10.70,-,
2024-05-23,23.78,10.08,9.30,-,
2024-05-24,30.00,12.02,8.90,-,
2024-05-25,19.18,13.53,9.10,-,
2024-05-26,19.37,15.10,11.20,-,
2024-05-27,27.12,15.08,10.40,-,
2024-05-28,32.02,16.58,8.80,-,
2024-05-29,28.00,19.54,13.40,-,
2024-05-30,29.52,20.55,11.60,-,
2024-05-31,25.66,14.53,9.10,-,
2024-06-01,15.18,9.10,5.20,12.32,
2024-06-02,13.63,7.37,5.30,11.97,
2024-06-03,24.60,13.51,8.80,26.79,
2024-06-04,17.59,9.12,6.00,28.08,
2024-06-05,30.14,11.45,6.40,23.72,
2024-06-06,25.28,13.83,9.80,19.72,
2024-06-07,16.88,11.96,9.20,17.02,
2024-06-08,23.09,15.84,8.90,19.97,
2024-06-09,20.06,11.65,8.80,18.99,
2024-06-10,24.75,17.24,10.10,28.05,
2024-06-11,27.98,16.55,11.20,26.26,
2024-06-12,18.46,14.50,8.80,11.87,
2024-06-13,20.52,11.72,9.80,17.26,
2024-06-14,19.03,12.51,8.70,22.17,
2024-06-15,19.20,16.00,10.40,15.35,
2024-06-16,21.41,15.47,13.40,16.36,
2024-06-17,17.38,11.85,7.30,13.72,
2024-06-18,22.86,14.20,9.60,15.11,
2024-06-19,25.36,19.37,13.00,24.05,
2024-06-20,15.39,11.38,9.20,12.00,
2024-06-21,31.55,34.25,16.30,26.72,
2024-06-22,22.57,32.16,15.50,16.79,
2024-06-23,14.65,13.57,9.50,15.02,
2024-06-24,19.15,16.35,10.00,20.05,
2024-06-25,20.35,13.46,7.80,18.64,
2024-06-26,28.31,19.14,10.30,22.60,
2024-06-27,30.39,22.57,11.50,28.40,
2024-06-28,27.04,20.75,10.80,24.96,
2024-06-29,27.30,23.92,14.60,23.12,
2024-06-30,27.77,27.38,13.20,-,
2024-07-01,21.60,12.52,8.50,-,
2024-07-02,16.59,10.48,7.80,-,
2024-07-03,17.35,11.68,8.00,16.61,
2024-07-04,16.75,10.23,8.10,14.33,
2024-07-05,14.47,12.84,8.80,12.62,
2024-07-06,18.40,11.97,9.10,16.35,
2024-07-07,14.65,16.87,12.10,16.44,
2024-07-08,27.32,18.61,12.90,18.92,
2024-07-09,37.95,22.24,14.50,30.74,
2024-07-10,41.63,31.07,19.70,34.00,
2024-07-11,34.66,24.93,15.40,26.36,
2024-07-12,33.67,21.65,14.90,26.13,
2024-07-13,15.25,18.39,13.30,13.60,
2024-07-14,14.60,15.29,11.30,13.69,
2024-07-15,25.38,16.43,12.70,19.68,
2024-07-16,27.91,24.57,18.60,22.64,
2024-07-17,25.73,18.31,11.10,19.64,
2024-07-18,20.11,14.18,8.40,18.56,
2024-07-19,24.21,16.97,10.30,22.79,
2024-07-20,23.72,14.70,10.30,21.76,
2024-07-21,28.85,18.35,11.50,24.78,
2024-07-22,30.71,21.91,14.30,25.99,
2024-07-23,18.46,13.62,9.90,14.76,
2024-07-24,22.38,10.98,6.80,16.45,
2024-07-25,16.87,11.28,7.20,13.60,
2024-07-26,22.07,12.84,8.20,20.07,
2024-07-27,22.76,19.54,12.20,19.26,
2024-07-28,17.11,14.93,10.00,12.48,
2024-07-29,14.93,10.38,6.80,12.60,
2024-07-30,17.12,11.77,7.90,16.45,
2024-07-31,24.18,11.14,5.80,23.31,
2024-08-01,28.78,19.62,13.60,24.58,
2024-08-02,24.75,17.84,12.50,23.84,
2024-08-03,13.21,6.33,4.50,12.52,
2024-08-04,15.50,9.45,7.80,17.08,
2024-08-05,17.17,8.50,6.90,14.69,
2024-08-06,15.01,8.86,6.00,12.18,
2024-08-07,23.55,12.95,8.00,18.97,
2024-08-08,25.24,15.62,10.00,21.16,
2024-08-09,21.45,10.39,7.80,17.32,
2024-08-10,18.67,14.76,12.20,14.70,
2024-08-11,16.39,10.55,7.70,14.39,
2024-08-12,20.74,15.19,11.20,15.10,
2024-08-13,24.45,19.02,12.10,18.76,
2024-08-14,25.65,21.82,13.20,21.00,
2024-08-15,25.35,19.97,13.40,19.38,
2024-08-16,28.93,21.04,15.00,27.10,
2024-08-17,22.77,16.88,11.00,21.02,
2024-08-18,20.12,17.61,10.30,16.23,
2024-08-19,19.01,12.24,8.00,13.38,
2024-08-20,-,14.53,8.90,20.60,
2024-08-21,24.60,17.65,11.20,20.40,
2024-08-22,21.99,15.28,8.20,16.76,
2024-08-23,21.02,17.74,9.90,20.13,
2024-08-24,28.68,23.77,15.90,23.92,
2024-08-25,23.35,21.59,14.70,18.95,
2024-08-26,15.92,17.88,11.50,10.16,
2024-08-27,27.12,22.04,13.30,19.00,
2024-08-28,36.40,23.66,13.90,29.51,
2024-08-29,46.01,23.84,14.90,36.51,
2024-08-30,49.10,26.62,15.20,40.54,
2024-08-31,34.75,26.18,16.30,35.04,
2024-09-01,22.57,23.82,15.70,25.63,
2024-09-02,37.97,20.20,13.50,32.49,
2024-09-03,44.81,20.59,12.60,39.30,
2024-09-04,55.73,22.55,13.90,48.85,
2024-09-05,51.87,30.21,13.60,53.25,
2024-09-06,50.75,33.36,14.90,50.77,
2024-09-07,34.96,30.89,15.30,31.50,
2024-09-08,34.47,29.92,13.80,30.85,
